=== 表1-A: 地图节点 (MAP Nodes) ===
节点类型,节点ID,节点名称,所属地图,等级范围,入口房间,房间数
MAP,village,新手村,新手村,1-10,village_center,5
MAP,forest,迷雾森林,迷雾森林,5-15,forest_entrance,4
MAP,mountain,青云山,青云山,15-30,mountain_path,3
MAP,city,洛阳城,洛阳城,10-50,city_gate,6
MAP,desert,大漠荒原,大漠荒原,25-40,desert_entrance,4
MAP,snow,雪域高原,雪域高原,35-50,snow_pass,4
MAP,swamp,毒沼泽,毒沼泽,20-35,swamp_entrance,4
MAP,island,东海仙岛,东海仙岛,40-60,island_beach,4
MAP,underground,地下迷宫,地下迷宫,30-45,underground_entrance,4
MAP,volcano,火山熔岩,火山熔岩,45-60,volcano_base,4
MAP,palace,皇宫禁地,皇宫禁地,50-70,palace_gate,5
MAP,demon,魔域深渊,魔域深渊,60-80,demon_portal,4
ROOM,village_center,村庄广场,新手村,1-10,,
ROOM,village_inn,客栈,新手村,1-10,,
ROOM,village_blacksmith,铁匠铺,新手村,1-10,,
ROOM,village_shop,杂货铺,新手村,1-10,,
ROOM,village_training,练武场,新手村,1-10,,
ROOM,forest_entrance,森林入口,迷雾森林,5-15,,
ROOM,forest_deep,森林深处,迷雾森林,5-15,,
ROOM,forest_clearing,林间空地,迷雾森林,5-15,,
ROOM,forest_cave,神秘洞穴,迷雾森林,5-15,,
ROOM,city_gate,城门,洛阳城,10-50,,
ROOM,city_square,城市广场,洛阳城,10-50,,
ROOM,city_tavern,醉仙楼,洛阳城,10-50,,
ROOM,city_market,集市,洛阳城,10-50,,
ROOM,city_arena,竞技场,洛阳城,10-50,,
ROOM,city_guild,侠客公会,洛阳城,10-50,,
ROOM,mountain_path,山道,青云山,15-30,,
ROOM,mountain_peak,山顶,青云山,15-30,,
ROOM,mountain_temple,青云观,青云山,15-30,,
ROOM,desert_entrance,荒漠入口,大漠荒原,25-40,,
ROOM,desert_oasis,绿洲,大漠荒原,25-40,,
ROOM,desert_ruins,古城遗址,大漠荒原,25-40,,
ROOM,desert_tomb,地下陵墓,大漠荒原,25-40,,
ROOM,snow_pass,雪山关隘,雪域高原,35-50,,
ROOM,snow_village,雪村,雪域高原,35-50,,
ROOM,snow_cave,冰洞,雪域高原,35-50,,
ROOM,snow_palace,冰宫,雪域高原,35-50,,
ROOM,swamp_entrance,沼泽边缘,毒沼泽,20-35,,
ROOM,swamp_deep,沼泽深处,毒沼泽,20-35,,
ROOM,swamp_island,沼泽孤岛,毒沼泽,20-35,,
ROOM,swamp_lair,毒蛟巢穴,毒沼泽,20-35,,
ROOM,island_beach,仙岛海滩,东海仙岛,40-60,,
ROOM,island_forest,仙岛密林,东海仙岛,40-60,,
ROOM,island_peak,仙岛山顶,东海仙岛,40-60,,
ROOM,island_cave,仙人洞府,东海仙岛,40-60,,
ROOM,underground_entrance,迷宫入口,地下迷宫,30-45,,
ROOM,underground_hall,中央大厅,地下迷宫,30-45,,
ROOM,underground_prison,囚牢区,地下迷宫,30-45,,
ROOM,underground_treasure,宝藏室,地下迷宫,30-45,,
ROOM,volcano_base,火山脚下,火山熔岩,45-60,,
ROOM,volcano_crater,火山口,火山熔岩,45-60,,
ROOM,volcano_lair,火蛟巢穴,火山熔岩,45-60,,
ROOM,volcano_forge,熔火锻造,火山熔岩,45-60,,
ROOM,palace_gate,宫门,皇宫禁地,50-70,,
ROOM,palace_courtyard,御花园,皇宫禁地,50-70,,
ROOM,palace_hall,金銮殿,皇宫禁地,50-70,,
ROOM,palace_garden,后花园,皇宫禁地,50-70,,
ROOM,palace_library,皇家藏书阁,皇宫禁地,50-70,,
ROOM,demon_portal,魔域入口,魔域深渊,60-80,,
ROOM,demon_fortress,魔族堡垒,魔域深渊,60-80,,
ROOM,demon_arena,魔族竞技场,魔域深渊,60-80,,
ROOM,demon_throne,魔王殿,魔域深渊,60-80,,
ROOM,forest_path,林间小径,迷雾森林,5-15,,
ROOM,deep_forest,密林深处,迷雾森林,5-15,,
ROOM,village_field,村外田野,新手村,1-10,,
ROOM,river_bank,河边,新手村,1-10,,
ROOM,dark_cave,黑暗洞窟,迷雾森林,5-15,,
ROOM,snow_field,雪原,青云山,15-30,,
ROOM,bamboo_grove,竹林,迷雾森林,5-15,,
ROOM,shaolin_temple,少林寺,青云山,15-30,,
ROOM,shaolin_pagoda,少林塔林,青云山,15-30,,
ROOM,wudang_peak,武当山,青云山,15-30,,
ROOM,wudang_hall,武当真武殿,青云山,15-30,,
